산업분류,사업체 전체,종사자 전체,단독사업체 사업체,단독사업체 종사자,"본사,본점 등 사업체","본사,본점 등 종사자","공장,지사(점),영업소 사업체","공장,지사(점),영업소 종사자"
전체,3262921,15943663,3117295,11840754,27705,1632605,117921,2470304
농업임업및어업,2181,32622,1667,21204,64,2629,450,8789
광업,1746,16918,1572,10010,49,1127,125,5781
제조업,335402,3259932,316972,2041225,7614,533723,10816,684984
전기가스증기및공기조절공급업,880,51545,249,4580,48,10656,583,36309
수도하수및폐기물처리원료재생업,5450,79657,4726,63235,172,6193,552,10229
건설업,97535,853524,91323,673433,2422,114758,3790,65333
도매및소매업,864543,2547330,824118,2012685,6135,155965,34290,378680
운수및창고업,338825,885737,329856,659594,1628,91198,7341,134945
숙박및음식점업,627039,1718029,620737,1596741,390,24067,5912,97221
정보통신업,24271,416971,20840,253812,895,88437,2536,74722
금융및보험업,36996,641552,10419,77823,2524,127697,24053,436032
부동산업,110768,393408,106563,322636,645,29371,3560,41401
전문과학및기술서비스업,64975,627291,57815,356306,2246,147745,4914,123240
사업시설관리사업지원및임대서비스업,46321,692982,37988,395192,1616,162120,6717,135670
공공행정국방및사회보장행정,12044,558755,11965,554489,12,3222,67,1044
교육서비스업,156164,1299080,150662,1098197,446,81598,5056,119285
보건업및사회복지서비스업,88452,807217,86867,730856,201,24635,1384,51726
예술스포츠및여가관련서비스업,98059,297061,97173,261183,118,13449,768,22429
협회및단체수리및기타개인서비스업,351270,764052,345783,707553,480,14015,5007,42484
