산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,42.0,6.5,20.2,167.5,155.7,11.8,3137.0,2911.0,225.0,5475.0,10510220
농업임업및어업,44.6,7.7,21.3,169.8,165.2,4.6,2853.0,2777.0,76.0,5875.0,26618
광업,51.0,8.3,22.5,187.7,166.9,20.7,3716.0,3308.0,408.0,5548.0,11890
제조업,41.6,7.3,20.8,179.9,157.4,22.5,3217.0,2806.0,411.0,7608.0,3099229
전기가스수도하수,44.5,10.4,20.5,172.7,160.1,12.6,3936.5,3598.5,338.0,9218.0,133393
건설업,44.5,5.5,20.2,165.5,158.0,7.5,3342.0,3156.0,186.0,2937.0,542566
도매및소매업,40.5,5.4,20.6,166.6,160.2,6.4,3082.0,2967.0,116.0,4024.0,1060291
운수및창고업,48.2,8.2,20.8,167.6,152.0,15.6,2895.0,2582.0,313.0,4753.0,541018
숙박및음식점업,41.0,3.0,21.4,174.5,164.3,10.2,2084.0,1929.0,155.0,968.0,313264
정보통신업,37.1,6.6,19.2,158.7,151.3,7.4,3890.0,3710.0,180.0,5629.0,440641
금융및보험업,39.8,11.8,18.9,155.1,150.6,4.5,4227.0,4099.0,128.0,17167.0,396470
부동산업시설관리지원임대,43.9,4.8,19.6,164.8,156.4,8.4,2628.7,2491.3,137.4,2414.8,1149791
전문과학및기술서비스업,39.2,6.7,19.3,157.2,152.9,4.3,3929.0,3817.0,111.0,8390.0,774447
교육서비스업,43.3,8.5,19.0,150.1,146.6,3.5,3469.0,3413.0,57.0,3582.0,440609
보건업및사회복지서비스업,42.0,4.6,20.2,158.9,152.5,6.4,2584.0,2457.0,127.0,2218.0,1190247
오락문화및운동관련서비스업,41.2,5.3,20.5,166.5,156.2,10.3,2738.0,2542.0,196.0,2477.0,98627
기타공공수리및개인서비스업,44.8,5.2,21.0,161.3,155.1,6.2,2487.0,2378.0,110.0,2593.0,291119
