"행정구역별","연령별","직업별",2000,2000,2000
"행정구역별","연령별","직업별",취업자 (명),남자 (명),여자 (명)
"전국","계","계",18456147,11539918,6916229
"전국","계","의회의원,고위임직원 및 관리자",973853,898138,75715
"전국","계","전문가",1688350,945756,742594
"전국","계","기술공 및 준전문가",1437657,1033469,404188
"전국","계","사무 종사자",2508609,1394175,1114434
"전국","계","서비스 종사자",1752849,651316,1101533
"전국","계","판매 종사자",2302331,1156253,1146078
"전국","계","농업,임업 및 어업숙련종사자",2356822,1243895,1112927
"전국","계","기능원 및 관련 기능 종사자",1923679,1554556,369123
"전국","계","장치,기계조작 및 조립 종사자",2059175,1689279,369896
"전국","계","단순노무 종사자",1380226,901747,478479
"전국","계","기타",70929,70293,636
"전국","계","미상",1667,1041,626
"전국","15 - 19세","계",248339,96908,151431
"전국","15 - 19세","의회의원,고위임직원 및 관리자",235,141,94
"전국","15 - 19세","전문가",6360,1376,4984
"전국","15 - 19세","기술공 및 준전문가",16948,4936,12012
"전국","15 - 19세","사무 종사자",54314,6397,47917
"전국","15 - 19세","서비스 종사자",38434,16876,21558
"전국","15 - 19세","판매 종사자",30939,10843,20096
"전국","15 - 19세","농업,임업 및 어업숙련종사자",5236,3981,1255
"전국","15 - 19세","기능원 및 관련 기능 종사자",17240,13135,4105
"전국","15 - 19세","장치,기계조작 및 조립 종사자",57555,23121,34434
"전국","15 - 19세","단순노무 종사자",20928,16002,4926
"전국","15 - 19세","기타",55,55,0
"전국","15 - 19세","미상",95,45,50
"전국","20 - 24세","계",1310299,460802,849497
"전국","20 - 24세","의회의원,고위임직원 및 관리자",4773,2733,2040
"전국","20 - 24세","전문가",175706,22263,153443
"전국","20 - 24세","기술공 및 준전문가",131731,40623,91108
"전국","20 - 24세","사무 종사자",384858,53422,331436
"전국","20 - 24세","서비스 종사자",128933,46826,82107
"전국","20 - 24세","판매 종사자",154562,51258,103304
"전국","20 - 24세","농업,임업 및 어업숙련종사자",25705,19642,6063
"전국","20 - 24세","기능원 및 관련 기능 종사자",94877,78025,16852
"전국","20 - 24세","장치,기계조작 및 조립 종사자",141889,92091,49798
"전국","20 - 24세","단순노무 종사자",62622,49497,13125
"전국","20 - 24세","기타",4379,4344,35
"전국","20 - 24세","미상",264,78,186
"전국","25 - 29세","계",2418796,1471060,947736
"전국","25 - 29세","의회의원,고위임직원 및 관리자",37046,31346,5700
"전국","25 - 29세","전문가",389030,165167,223863
"전국","25 - 29세","기술공 및 준전문가",303885,194267,109618
"전국","25 - 29세","사무 종사자",566829,253060,313769
