"행정구역별","산업별","연령별",1980,1980
"행정구역별","산업별","연령별",계,남자
"전국","계","계",12682004,8043981
"전국","계","15 - 19세",1082370,462502
"전국","계","20 - 24세",1831104,894389
"전국","계","25 - 29세",1702844,1279575
"전국","계","30 - 34세",1572497,1185484
"전국","계","35 - 39세",1490386,1039029
"전국","계","40 - 44세",1492428,994176
"전국","계","45 - 49세",1240114,784839
"전국","계","50 - 54세",865144,523408
"전국","계","55 - 59세",662335,408035
"전국","계","60 - 64세",385542,247823
"전국","계","65세이상",323274,211602
"전국","계","미상",,-
"전국","계","14세",33966,13119
"전국","농업,수렵업,임업 및 어업","계",4794696,2640147
"전국","농업,수렵업,임업 및 어업","15 - 19세",258641,162304
"전국","농업,수렵업,임업 및 어업","20 - 24세",468294,288074
"전국","농업,수렵업,임업 및 어업","25 - 29세",401825,234514
"전국","농업,수렵업,임업 및 어업","30 - 34세",401305,218438
"전국","농업,수렵업,임업 및 어업","35 - 39세",485819,244704
"전국","농업,수렵업,임업 및 어업","40 - 44세",623367,320975
"전국","농업,수렵업,임업 및 어업","45 - 49세",623123,313733
"전국","농업,수렵업,임업 및 어업","50 - 54세",502007,251821
"전국","농업,수렵업,임업 및 어업","55 - 59세",445889,243727
"전국","농업,수렵업,임업 및 어업","60 - 64세",300745,182764
"전국","농업,수렵업,임업 및 어업","65세이상",272619,173410
"전국","농업,수렵업,임업 및 어업","미상",,-
"전국","농업,수렵업,임업 및 어업","14세",11062,5683
"전국","광업","계",90624,86184
"전국","광업","15 - 19세",3059,2584
"전국","광업","20 - 24세",8621,7893
"전국","광업","25 - 29세",14353,14051
"전국","광업","30 - 34세",14895,14525
"전국","광업","35 - 39세",16027,15299
"전국","광업","40 - 44세",15995,15107
"전국","광업","45 - 49세",10272,9676
"전국","광업","50 - 54세",4308,4097
"전국","광업","55 - 59세",1973,1886
"전국","광업","60 - 64세",737,720
"전국","광업","65세이상",329,311
"전국","광업","미상",,-
"전국","광업","14세",55,35
"전국","제조업","계",2797030,1784896
"전국","제조업","15 - 19세",562579,184580
"전국","제조업","20 - 24세",671002,296158
"전국","제조업","25 - 29세",477924,415449
"전국","제조업","30 - 34세",362181,318092
"전국","제조업","35 - 39세",263587,217970
"전국","제조업","40 - 44세",198691,155969
"전국","제조업","45 - 49세",124258,95798
"전국","제조업","50 - 54세",65531,51168
"전국","제조업","55 - 59세",35998,29399
"전국","제조업","60 - 64세",13172,10871
"전국","제조업","65세이상",6543,5057
"전국","제조업","미상",,-
"전국","제조업","14세",15564,4385
"전국","전기,가스및수도사업","계",36493,33105
"전국","전기,가스및수도사업","15 - 19세",1328,812
"전국","전기,가스및수도사업","20 - 24세",5594,3652
"전국","전기,가스및수도사업","25 - 29세",8401,7849
"전국","전기,가스및수도사업","30 - 34세",7217,7133
"전국","전기,가스및수도사업","35 - 39세",4577,4491
"전국","전기,가스및수도사업","40 - 44세",4318,4203
"전국","전기,가스및수도사업","45 - 49세",3009,2951
"전국","전기,가스및수도사업","50 - 54세",1523,1496
"전국","전기,가스및수도사업","55 - 59세",396,388
