산업분류,평균연령,평균근속년수,근로일수,총근로시간수,정상근로시간수,초과근로시간수,월급여총액,정액급여,초과급여,연간특별급여,근로자수
전체,42.9,6.8,21.7,176.7,167.7,9.0,3318,3118,200,5268,11061775
농업임업및어업,45.4,8.9,22.2,175.0,169.6,5.4,2912,2825,86,6172,28468
광업,51.6,8.3,23.3,199.8,177.9,21.8,3758,3295,463,5160,11449
제조업,42.5,8.0,21.9,186.4,169.9,16.5,3350,3003,347,6720,3140872
전기가스증기및수도사업,41.6,13.5,21.3,179.0,169.6,9.4,4833,4509,324,17031,63664
하수폐기물처리원료재생및환경복원업,47.4,7.1,22.9,191.6,177.0,14.6,3529,3172,357,3992,80800
건설업,45.5,5.8,22.1,178.9,172.6,6.3,3576,3421,154,2822,559595
도매및소매업,41.2,6.2,21.9,175.6,170.9,4.7,3368,3272,96,4337,1099397
운수업,48.5,7.6,21.5,174.9,161.6,13.3,3018,2719,300,4703,553337
숙박및음식점업,41.5,3.3,21.4,170.8,162.9,8.0,2214,2086,129,958,348820
출판영상방송통신및정보서비스업,38.1,6.9,21.8,178.0,172.4,5.6,4105,3957,148,5436,476187
금융및보험업,40.4,12.0,21.7,177.0,172.0,5.0,4618,4489,129,17589,427729
부동산업및임대업,55.7,4.8,20.4,180.8,178.8,2.0,2658,2597,61,2587,269595
전문과학및기술서비스업,40.3,7.5,21.6,176.4,171.5,4.9,4242,4069,173,8300,884835
사업시설관리및사업지원서비스업,42.3,5.7,21.4,174.0,166.8,7.2,2838,2684,154,2969,893664
교육서비스업,43.7,7.6,20.2,155.2,152.6,2.7,3425,3377,48,3172,462946
보건업및사회복지서비스업,43.6,4.3,21.9,164.3,159.2,5.2,2705,2586,119,2059,1406635
예술스포츠및여가관련서비스업,42.3,6.1,21.3,171.0,163.3,7.7,2796,2633,162,2543,114535
협회및단체수리및기타개인서비스업,44.0,6.1,22.3,176.2,171.6,4.6,2794,2697,96,3256,239246
