code,5th,Industrial
0,"의회의원, 고위임직원 및 관리자",기타
1,의회의원 및 고위임원,기타
11,의회의원,기타
12,"정부 고위공무원, 의회의원 제외","공공행정, 국방 및 사회보장 행정"
13,특수이익단체 고위임원,"협회 및 단체, 수리 및 기타 개인 서비스업"
2,행정 및 경영관리자,"공공행정, 국방 및 사회보장 행정"
21,기업 고위임원,기타
22,정부행정부서 관리자,"공공행정, 국방 및 사회보장 행정"
23,생산 및 운영부서 관리자,제조업
24,기타부서 관리자,기타
3,일반관리자,기타
30,일반관리자,기타
1,전문가,"전문, 과학 및 기술 서비스업"
11,과학 전문가,"전문, 과학 및 기술 서비스업"
111,자연과학 전문가,"전문, 과학 및 기술 서비스업"
112,생명과학 전문가,"전문, 과학 및 기술 서비스업"
113,사회과학 전문가,"전문, 과학 및 기술 서비스업"
12,컴퓨터관련 전문가,"전문, 과학 및 기술 서비스업"
120,컴퓨터관련 전문가,"전문, 과학 및 기술 서비스업"
13,공학 전문가,"전문, 과학 및 기술 서비스업"
131,건축 및 토목공학 전문가,"전문, 과학 및 기술 서비스업"
132,전기․전자 및 기계공학 전문가,"전기, 가스, 증기 및 공기조절 공급업"
133,화학 및 금속공학 전문가,"전문, 과학 및 기술 서비스업"
134,측량 전문가,"전문, 과학 및 기술 서비스업"
135,기타 공학 전문가,"전문, 과학 및 기술 서비스업"
14,보건의료 전문가,보건업 및 사회복지 서비스업
141,"의료진료 전문가, 간호 제외",보건업 및 사회복지 서비스업
142,약사 및 한약사,보건업 및 사회복지 서비스업
143,간호 및 조산 전문가,보건업 및 사회복지 서비스업
144,치료 전문가,보건업 및 사회복지 서비스업
145,영양 전문가,보건업 및 사회복지 서비스업
15,교육 전문가,교육 서비스업
151,대학교수,교육 서비스업
152,중등학교 교사,교육 서비스업
153,초등학교 교사,교육 서비스업
154,유치원 교사,교육 서비스업
155,특수학교 교사,교육 서비스업
156,정규학교 이외 교육기관 전문가,교육 서비스업
157,기타 교육 전문가,교육 서비스업
16,"행정, 경영 및 재정 전문가","공공행정, 국방 및 사회보장 행정"
161,행정 전문가,"공공행정, 국방 및 사회보장 행정"
162,회계 관련 전문가,"공공행정, 국방 및 사회보장 행정"
163,인사 및 노사관계 전문가,"공공행정, 국방 및 사회보장 행정"
164,금융․보험 전문가,금융 및 보험업
165,사업서비스 관련 전문가,기타
17,"법률, 사회서비스 및 종교 전문가",기타
171,법률 전문가,기타
172,사회서비스 전문가,기타
173,종교 전문가,기타
18,"문화, 예술 및 방송관련 전문가","예술, 스포츠 및 여가관련 서비스업"
181,"기록 보관원, 사서 및 관련 전문가","예술, 스포츠 및 여가관련 서비스업"
182,작가 및 관련 전문가,"예술, 스포츠 및 여가관련 서비스업"
183,창작 및 공연예술가,"예술, 스포츠 및 여가관련 서비스업"
184,"영화, 연극 및 방송관련 전문가","예술, 스포츠 및 여가관련 서비스업"
2,기술공 및 준전문가,"전문, 과학 및 기술 서비스업"
21,과학관련 기술종사자,"전문, 과학 및 기술 서비스업"
211,자연과학관련 기술종사자,"전문, 과학 및 기술 서비스업"
212,생명과학관련 기술종사자,"전문, 과학 및 기술 서비스업"
213,사회과학관련 종사자,"전문, 과학 및 기술 서비스업"
22,컴퓨터관련 준전문가,"전문, 과학 및 기술 서비스업"
220,컴퓨터관련 준전문가,"전문, 과학 및 기술 서비스업"
23,공학관련 기술종사자,"전문, 과학 및 기술 서비스업"
231,건축 및 토목공학 기술종사자,"전문, 과학 및 기술 서비스업"
232,전기․전자 및 기계공학 기술종사자,"전기, 가스, 증기 및 공기조절 공급업"
233,화학 및 금속공학 기술종사자,"전문, 과학 및 기술 서비스업"
234,"제도 기술종사자, 캐드 포함","전문, 과학 및 기술 서비스업"
