companyCount,workerCount
657646.5702693462,2989708.9388985634
467587.94611239433,2193554.6023032665
364765.34884247184,1306633.421598196
497497.82113043964,2672119.378161669
90669.57848235965,884260.3331899643
406250.3104683012,2526661.626216769
905428.5733189434,3912413.1647462845
728079.0246987194,2740514.97720778
1080550.9309033751,4862369.154912472
163118.81851303577,1408368.4239566326
-90306.24612744153,417139.79255759716
677700.5190881193,3476966.117515087
679798.7202330083,3902420.0266917944
446295.27040323615,2376409.658798814
259216.40611121058,2591843.8554825783
720886.2620336413,2888573.5955061913
954747.6563436687,3959950.638412595
